normal.,60593,0.1948146314330818,
snmpgetattack.,7741,0.02488835446212411,
named.,17,5.465728276141453e-05,
xlock.,9,2.893620852074887e-05,
smurf.,164091,0.5275745991531336,
ipsweep.,306,0.0009838310897054615,
multihop.,18,5.787241704149774e-05,
xsnoop.,4,1.286053712033283e-05,
sendmail.,17,5.465728276141453e-05,
guess_passwd.,4367,0.014040491401123368,
saint.,736,0.002366338830141241,
buffer_overflow.,22,7.073295416183057e-05,
portsweep.,354,0.0011381575351494554,
pod.,87,0.00027971668236723905,
apache2.,794,0.002552816618386067,
phf.,2,6.430268560166415e-06,
udpstorm.,2,6.430268560166415e-06,
warezmaster.,1602,0.005150645116693299,
perl.,2,6.430268560166415e-06,
satan.,1633,0.005250314279375878,
xterm.,13,4.17967456410817e-05,
mscan.,1053,0.0033855363969276177,
processtable.,759,0.0024402869185831547,
ps.,16,5.144214848133132e-05,
nmap.,84,0.00027007127952698943,
rootkit.,13,4.17967456410817e-05,
neptune.,58001,0.18648100337910614,
loadmodule.,2,6.430268560166415e-06,
imap.,1,3.2151342800832076e-06,
back.,1098,0.003530217439531362,
httptunnel.,158,0.0005079912162531469,
worm.,2,6.430268560166415e-06,
mailbomb.,5000,0.016075671400416037,
ftp_write.,3,9.645402840249622e-06,
teardrop.,12,3.858161136099849e-05,
land.,9,2.893620852074887e-05,
sqlattack.,2,6.430268560166415e-06,
snmpguess.,2406,0.007735613077880198,
